[1] ADD,umhaEY4lil,91628.00 
[129] CANCEL_SET_BUY,CqOb5G0hB4,JGF 
[130] SELL,ojovZ9YLZM,GTQ,634.62 
[131] COMMIT_SELL,sYJRWa0Mih 
[132] COMMIT_BUY,LwNQpkd8mr 
[133] BUY,ojovZ9YLZM,THF,440.11 
[134] COMMIT_SELL,xFrzsBbeiS 
[135] COMMIT_SELL,w69hSQMdyy 
[136] SET_BUY_TRIGGER,umhaEY4lil,JIK,13.91 
[137] DISPLAY_SUMMARY,xFrzsBbeiS 
[138] CANCEL_SET_SELL,xFrzsBbeiS,XZF 
[139] SELL,jzi5Fg2GGS,GTQ,294.68 
[140] CANCEL_SET_BUY,jzi5Fg2GGS,QRQ 
[141] CANCEL_SELL,kul4JJSoHc 
[142] COMMIT_BUY,ojovZ9YLZM 
[143] ADD,xFrzsBbeiS,66350.25 
[144] SET_BUY_TRIGGER,w69hSQMdyy,GJT,119.06 
[145] BUY,CqOb5G0hB4,AME,291.71 
[146] QUOTE,ojovZ9YLZM,CMO 
[147] QUOTE,ojovZ9YLZM,NZO 
[148] ADD,w69hSQMdyy,72599.15 
[149] CANCEL_SET_BUY,umhaEY4lil,XRS 
[150] ADD,kul4JJSoHc,83848.11 
[151] SET_BUY_TRIGGER,sYJRWa0Mih,VZP,37.17 
[152] DISPLAY_SUMMARY,xFrzsBbeiS 
[153] QUOTE,xFrzsBbeiS,AME 
[154] QUOTE,w69hSQMdyy,XRS 
[155] QUOTE,sYJRWa0Mih,GJT 
[156] QUOTE,umhaEY4lil,BKM 
[157] CANCEL_SELL,ojovZ9YLZM 
[158] ADD,w69hSQMdyy,67321.71 
[159] DISPLAY_SUMMARY,ojovZ9YLZM 
[160] CANCEL_SET_BUY,jzi5Fg2GGS,XRS 
[161] ADD,ojovZ9YLZM,62174.43 
[162] SET_BUY_AMOUNT,ojovZ9YLZM,JIK,622.05 
[163] DISPLAY_SUMMARY,CqOb5G0hB4 
[164] SET_SELL_AMOUNT,LwNQpkd8mr,GTQ,164.40 
[165] CANCEL_SELL,BqhMWgFe1n 
[166] SET_BUY_TRIGGER,ojovZ9YLZM,GJT,26.65 
[167] SET_BUY_AMOUNT,ojovZ9YLZM,GTQ,207.06 
[168] SET_BUY_TRIGGER,ojovZ9YLZM,VNG,57.30 
[169] QUOTE,w69hSQMdyy,THF 
[170] QUOTE,LwNQpkd8mr,HLU 
[171] QUOTE,LwNQpkd8mr,CDQ 
[172] BUY,kul4JJSoHc,OOP,72.87 
[173] SET_BUY_TRIGGER,kul4JJSoHc,QLE,9.98 
[174] BUY,xFrzsBbeiS,THF,29.33 
[175] BUY,LwNQpkd8mr,OWG,700.83 
